데이,표제어,예문,동의어 1,동의어 2,동의어 3,동의어 4,동의어 5
28,prevailing,The prevailing forecast is that the dollar will remain weak.,prevalent,widespread,,,
28,overlook,We could not afford to overlook such a serious offence.,excuse,pardon,,,
28,commemoration,Various events will be held in commemoration of the company's 50th anniversary.,celebration,observance,,,
28,abstemious,People with an abstemious lifestyle tend to live longer than people who indulge their appetites.,abstinent,continent,temperate,,
28,rhetoric,The famous speaker resorts to the abusive rhetoric.,elcoution,eloquence,oratory,,
28,rhetoric,The old trade union slogan is not just empty rhetoric.,bombast,euphuism,hyperbole,overstatement,
28,dire,We're in dire need of your help.,desperate,urgent,,,
28,dire,The firm is in dire straits and may go bankrupt.,appalling,disastrous,dreadful,terrible,
28,gait,Now Michael can walk with a normal gait and no limp.,step,walk,,,
28,clement,Judges sometimes offered certain defendants a clement punishment.,compassionate,gentle,lenient,,
28,transfuse,The belief that transfusing blood from another person can restore youth and vigor is very ancient.,administer,dispense,,,
28,unwittingly,"Unwittingly, I had aroused anger in my best friend.",accidentally,involuntarily,unintentionally,,
28,conflict,Dokdo has long been a center of conflict between Korea and Japan.,clash,collision,disagreement,discord,
28,nostrum,The National Assembly's nostrums for social problems are often ineffective.,elixir,magic bullet,panacea,,
28,exonerate,The police report exonerated Lewis from all charges of corruption.,absolve,acquit,exculpate,vindicate,
28,gradual,"Medieval kingdoms did not become constitutional republics overnight: on the contrary, the change was gradual.",piecemeal,progressive,steady,step-by-step,
28,coagulate,A substance was generously applied to the open wound to coagulate the blood.,clot,congeal,,,
28,restitution,The government is now demanding the restitution of its ancient treasures that were removed from the country in the 16th century.,compensation,indemnity,recompense,reparation,
28,prudent,You must be more prudent in future about what you do.,careful,cautious,discreet,measured,sensible
28,prudent,"Having experienced hardship, he was prudent with money.",economical,frugal,sparing,thrifty,
28,flinch,They flinched before the great force marching against them.,recoil,shrink,wince,,
28,scavenger,"EU ruling introduced in 2006 stipulates that carcasses must be incinerated, which deprives the scavengers of their usual food.",forager,,,,
28,insipid,Hospital food is insipid for the most part.,tasteless,unsavory,vapid,,
28,insipid,Insipid advertising can make clients turn away.,bland,boring,dull,,
28,byword,The name Chanel became a byword for elegance.,archetype,emblem,epitome,paragon,
28,assimilate,I will need time to assimilate this information.,digest,imbibe,,,
28,assimilate,"With the passage of time, most newcomers assimilated, or blended into American society.",adapt,,,,
28,causality,The idea of causality has been postulated as a natural law yet is under attack on both scientific and philosophical grounds.,causation,,,,
28,scam,Phone scams are on the rise in South Korea.,con,,,,
28,scam,The broker scammed naive young people with fake car insurance.,defraud,mulct,swindle,,
28,subversive,He was suspended from school for subversive behavior.,insurgent,mutinous,rebellious,,
28,subversive,The group was involved in several subversive activities.,insurgent,mutinous,rebellious,,
28,acrid,The acrid odor of gunpowder filled the room after the pistol had been fired.,acid,biting,,,
28,weather,The company just managed to weather the recession.,bear,endure,,,
29,punctual,"Known as a punctual person, Johnson always tried to be at his appointments on time.",prompt,timely,,,
29,importune,He importuned me to give him more money.,badger,implore,harass,pester,
29,withstand,The materials used have to be able to withstand high temperatures.,bear,endure,resist,,
29,traumatic,Divorce can be traumatic for everyone involved.,painful,shocking,,,
29,schism,Nomination of presidential candidate would likely cause a majot schism within the party with unpredictable consequences.,break,rift,split,,
29,collude,We acted independently and didn't collude with anyone.,conspire,intrigue,plot,,
29,drudgery,Automation has done away with much of the drudgery of work.,chore,toil,travail,,
29,consonant,Her behavior was consonant with her religious beliefs.,accordant,coincident,congruous,consistent,
29,excavate,Archaeologitsts have excavated over 500 tombs at the site so far.,uncover,unearth,,,
29,pristine,"The air in the rural villages of Nepal used to be pristine, uncontaminated by any pollutant.",pure,,,,
29,figment,Ghosts are just figments of the imagination.,fable,fabrication,fiction,,
29,spiteful,"Having been a victim of spiteful rumors, I purposely avoided gossips.",malevolent,malicious,venomous,,
29,acquiesce,Senior government figures must have acquiesced in the cover-up.,accede,agree,assent,consent,
29,respective,Hundreds of vehicles manufactured by GM Automotive line the docks of the Incheon port awaiting exports to their respective destinations.,individual,personal,,,
29,paramour,She sought a divorce on the grounds that her husband had a paramour in another town.,lover,mistress,,,
29,bifurcate,A sample of water was taken from the point where the river bifurcates.,divide into two branches,,,,
29,standoff,There is a prolonged standoff between Washington and Pyongyang over the North Korean nuclear issue.,deadlock,impasse,stalemate,,
29,intermittent,There will be intermittent rain showers today in Seoul.,periodic,sporadic,,,
29,epilogue,"In an epilogue, the author summarized there are the unforgettable lessons of history that people should pay attention.",afterword,coda,postscript,,
29,momentary,Marriage is not a decision made upon a momentary impulse.,brief,short,temporary,transitory,
29,cavalcade,I saw a cavalcade of limousines and police motorcycles.,parade,,,,
29,deport,"The Immigration Bureau of Korea deported 3,023 illegal immigrant workers.",banish,exile,expatriate,expel,oust
29,outset,Arguments arose right from the outset of the meeting.,onset,beginning,inception,start,
29,heterogeneous,There was a wonderfully heterogeneous gathering of people at the party.,disparate,diverse,miscellaneous,,
29,supplement,You should talk to your doctor before taking a dietary supplement.,add-on,annex,,,
29,supplement,We have decided to supplement your income with a monthly bonus.,add to,augment,complement,replenish,
29,anatomy,The coroner performed a partial anatomy on the corpse.,build,frame,structure,,
29,synthetic,This synthetic detergent washes out dirt very well.,artificial,ersatz,man-made,,
29,luster,The diamond's luster drew my attention.,gloss,sheen,shine,,
29,luster,"Princess Grace gave Monaco a new luster, and the rich and famous flocked to the Riviera paradise.",fame,glory,honor,,
29,convivial,They spoke with the man and found him a very convivial companion.,cheerful,jovial,pleasant,,
29,voluble,"It was difficult to imagine Matthew, a voluble man, as a psychiatrist.",fluent,garrulous,glib,,
29,astute,Their astute merchandising program made their business successful.,canny,clever,shrewd,smart,
29,prowess,His prowess in the battlefield has been eulogized.,bravery,courage,mettle,valor,
29,prowess,He was a gifted athlete who showed excellent athletic prowess.,ability,adroitness,dexterity,skill,
29,numb,A person in a hypnotic trance can become unaware of pain by imagining that the painful area has been made numb.,insensitive,paralysed,torpid,,
29,inventory,The domestic inventory of steel products is on the rise because imiports have swelled while overall steel demand is stalled.,goods in stock,stock,,,
29,expedition,The man was chosen to lead an expedition across the continent from south to north.,exploration,journey,voyage,,
29,tenant,Tenants who fall behind in their rent risk being evicted.,leaseholder,occupant,renter,resident,
29,blankly,"She stared blankly into space, not knowing what to say next.",absently,absent-mindedly,vacantly,,
29,rogue,Pirates are sometimes called the rogues of the sea.,knave,rascal,scamp,scoundrel,villain
29,grim,The celebrity entered the courtroom with a grim face.,forbidding,menacing,,,
29,grim,"While the economy looks preety grim, it's not unmanageable.",bleak,gloomy,,,
29,corps,Mr. Broder had served four tears in the Marine Corps before he joined the high command.,troops,unit,,,
29,sparkle,The diamond sparkled in the sunlight.,flash,gleam,glitter,shine,twinkle
29,dorsal,"Complete with dorsal and pectoral fins, the robofish is stealthy too.",tergal,,,,
29,malediction,"The king, facing his enemies, uttered a malediction upon them.",anathema,curse,damnation,denunciation,slander
29,forsake,He had made it clear to his wife that he would never forsake her.,desert,,,,
29,forsake,She forsook the glamour of the city and went to live in the wilds of Scotland.,abandon,quit,,,
30,overall,"Overall, our enrollment is up 50% from this time last year.",generally,,,,
30,interlocutor,My interlocutor was hugely enthusiastic and well-informed.,colloquist,dialogist,dialoguer,,
30,interlocutor,She will be the interlocutor of the NATO military committee.,bargainer,negotiator,,,
30,daze,A blow on the head dazed the brave soldier.,bemuse,benumb,stun,stupefy,
30,sobriquet,"My good friend Izzy Landes raised a glass and dubbed me the Curator of the Curators, a sobriquet I have worn with pride ever since.",byname,cognomen,moniker,nickname,
30,bewail,The representatives were bewailing the fact that insufficient numbers of young women were applying to become engineers.,bemoan,deplore,grieve,lament,mourn
30,pedigree,"On average, his trained pedigree dogs sell for $40,000 to $60,000.",purebred,thoroughbred,,,
30,stymie,"Rescue efforts have been stymied by inclement weather since Tuesday, when the MH-47 helicopter crashed.",hinder,impede,thwart,,
30,discursive,They were annoyed and bored by his discursive remarks.,desultory,incoherent,meandering,rambling,
30,hypnosis,She only remembered details of the accident under hypnosis.,hypnotism,mesmerism,,,
30,wince,He winced as a sharp pain shot through his left leg.,cringe,flinch,quail,recoil,shrink
30,ripe,The water is drained off the field when the rice is ripe.,ripened,,,,
30,equity,Equal treatment is a matter of fairness and equity.,fairness,impartiality,justice,,
30,flounder,His abrupt change of subject left her floundering helplessly.,blunder,fumble,stumble,,
30,flounder,She was floundering around in the deep end of the swimming pool.,wallow,,,,
30,mythology,Hercules is the strongest man in Greek mythology.,folklore,myth,,,
30,suspend,Rail service to Busan Station will be suspended for line maintenance.,cease,defer,postpone,,
30,suspend,A lamp was suspended from the ceiling.,append,dangle,hang,,
30,tremor,His attempt to conceal his guilt was betrayed by the tremor of his hand as he picked up the paper.,quiver,trembling,vibration,,
30,abusive,The anonymity of the Internet frees some people to send abusive messages that are offensive to others.,insulting,offensive,opprobrious,,
30,stereotype,Sterotypes about blood types may hurt people.,bromide,cliché,platitude,truism,
30,crash,"On Mar. 24 a North Korean reconnaissance drone crashed in Paju, Gyeonggi Province.",drop,fall,go down,plunge,
30,entrust,We entrusted the newly elected treasurer with all our money.,assign,commit,confide,trust,
30,luscious,The music is very famous because its melody is so luscious.,delicious,palatable,savory,yummy,
30,yardstick,"In 1907, a chemist at Yale University, Bertram Boltwood, found that the decay of radioactive minerals could be thought of as a convenient yardstick of time.",criterion,measure,standard,touchstone,
30,converge,Thousands of supporters converged on London for the rally.,concentrate,focus,,,
30,converge,Our national interest converges on that point.,combine,merge,unite,,
30,descant,I have descanted on this subject before.,elaborate,enlarge,expatiate,expound,
30,picky,She is very fussy about food and very picky about clothes.,fussy,,,,
30,infuriate,Abecrombie & Fitch's skin-filled ads delighted American teenagers and infuriated parents.,enrage,,,,
30,repudiate,He repudiated any connection with his old friend.,disown,renounce,,,
30,cherubic,The baby has a cherubic face and fair complexion.,angelic,seraphic,,,
30,genre,The most popular genres in the Chinese film industry are comedy and action.,category,type,,,
30,vivacious,His vivacious personality has gained him wide recognition as a concert pianist.,animated,gay,lively,spirited,vital
30,coy,The girl gave me a coy smile.,shy,,,,
30,proliferate,"Molds tend to proliferate in rainy, humid conditions.",multiply,mushroom,snowball,,
30,brisk,"On rainy days, stores do a brisk business in umbrellas.",alert,spanking,zippy,,
30,brisk,"Scotland will see a brisk wind this morning, which will stop mist and fog developing.",bracing,fresh,refreshing,,
30,deterrent,Capital punishment is the only true deterrent to serious crimes.,discouragement,impediment,obstacle,,
30,deterrent,The nuclear umbrella has a deterrent force effect in Northeast Asia.,inhibiting,preclusive,preventive,,
30,envision,"They envision an equal society, free of poverty and disease.",envisage,imagine,visualize,,
30,envision,A mild form of control is envisioned.,consider,contemplate,,,
30,punitive,There are calls for more punitive measures against people who drink and drive.,castigatory,disciplinary,punishing,,
30,rave,The film received rave reviews from critics and industry watchers.,acclaim,applause,encomium,,
30,composure,He tried to smoke himself into composure.,aplomb,calmness,equanimity,sangfroid,
30,amalgamate,This information will be amalgamated with information obtained earlier.,blend,compound,mingle,mix,
30,amalgamate,The two companies were amalgamated into one.,merge,,,,
31,harvest,Farmers are extremely busy during the harvest.,crop,picking,yield,,
31,inscrutable,"He stated that it was a rather inscrutable work of art, but he liked it.",enigmatic,incomprehensible,mysterious,,
31,crescendo,Voices rose in a crescendo and drowned him out.,climax,intensification,,,
31,crescendo,The advertising campaign reached a crescendo just before Christmas.,climax,intensification,,,
31,preeminent,Many consider Mr. Davis to be the state's preeminent historian.,conspicuous,distinguished,notable,,
31,encourage,We were greatly encouraged by the positive response of the public.,boost,inspire,invigorate,,
31,encourage,Banks actively encourage people to borrow money.,promote,spur,,,
31,encourage,Some computer games encourage violent behaviour in young children.,promote,spur,,,
31,axiom,That sign has words from poems or an axiom on it.,adage,aphorism,maxim,precept,
31,prick,I felt a prick of conscience at what he said.,hurt,,,,
31,string,Aid should be given to developing countries with no strings attached.,condition,proviso,,,
31,string,He wrapped the package in brown paper and tied it with string.,cord,strand,twine,,
31,depraved,There are no morals anymore in this sick depraved country of ours.,corrupt,degenerate,immoral,vicious,wicked
31,treasury,The treasury of the baseball club is still empty.,fund,,,,
31,vociferous,She was vociferous in her opinion to persuade the audience.,boisterous,clamorous,noisy,strident,
31,vociferous,"At night, the man was awakened by the vociferous noise.",boisterous,clamorous,noisy,strident,
31,prod,She prodded him in the ribs to wake him up.,dig,push,shove,,
31,prod,She finally prodded him into action.,move,prompt,urge,,
31,concerned,Many Japanese citizens and residents have been concerned about the ageing reactors.,anxious,uneasy,,,
31,rubbish,The streets were strewn with rubbish after the carnival.,garbage,junk,trash,waste,
31,diagonal,"The bishop in chess can only move in diagonal lines, never forward or sideways.",crosswise,oblique,shew,slanting,
31,simulate,I tried to simulate surprise at the news.,feign,imitate,pretend,,
31,finicky,Jack thought that his teacher was being rather finicky about the final draft of the paper.,fastidious,finical,fussy,squeamish,
31,coddle,After all the complaints about spoon-feeding in schools and the need for independent thinking we're back to coddling students.,cosset,indulge,mollycoddle,pamper,
31,intimacy,We wanted to create another type of intimacy using new technologies.,closeness,familiarity,innerness,,
31,sweltering,"One sweltering late afternoon in March, I walked out to collect wood.",burning,scorching,steaming,sultry,
31,exculpate,"We should not insult the victims, by publicly exculpating their tortures and refusing to prosecute them.",acquit,absolve,exonerate,vindicate,
31,static,The new logo can be animated or static.,fixed,motionless,stationary,still,
31,static,Static electricity occurs more often when the weather is dry.,static electricity,,,,
31,patch,There was a small patch of cloud in the blue sky.,scrap,shred,,,
31,mudslinging,Many people are growing concerned about mudslinging in the legal field.,aspersion,calumny,slander,vilification,
31,groove,One is liable to fall into a groove in a large city.,custom,,,,
31,correlation,There is a direct correlation between exposure to sun and skin cancer.,association,interrelation,interrelationship,,
31,foolproof,"Although the Carbon 14 method of dating old objects is not foolproof, it is the best method available at present.",fully reliable,infallible,unfailing,,
31,discount,"After all the discounts are taken, his story sounds phony.",disregard,ignore,,,
31,blasphemy,"Under Pakistan's strict blasphemy laws, difilement of Islam's holy book is punishable by life imprisonment.",desecration,impiety,irreverence,profanity,
31,dungeon,"The captive was thrown into a dark, damp, filthy dungeon.",underground cell,,,,
31,wrangle,Two people wrangled over a trivial problem until it became a legal issue.,altercate,argue,dispute,quarrel,
31,wrangle,He is locked in a bitter wrangle with his wife over custody of the children.,altercation,argument,bickering,,
31,tumor,"Benign tumors are not a cause for concern, but a malignant tumor is serious and could be cancerous.",neoplasm,,,,
31,fraternal,There's always been a lot of fraternal rivalry between my sons.,brotherly,,,,
31,elocution,He took elocution lessons to try to make his accent sound more genteel.,diction,eloquence,oratory,rhetoric,
31,juice,The boss has the juice to make the necessary changes.,inspiration,sap,vitality,,
31,opt,Many athlets opt for diet soda to cut down on their sugar intake.,choose,decide,select,,
31,contraption,A pencil with eraser was a simple but novel contraption.,contrivance,device,gadget,gizmo,
31,allude,"Although he used different names, he was alluding to his coworkers.",insinuate,intimate,suggest,,
31,sequela,"In order to increase the success rate of the treatment, the therapist must take into account all the psychological sequela that can occur.",aftereffect,,,,
31,glamorous,"New York may be a glamorous city, filled with skyscrapers and luxurious buildings.",alluring,attractive,charming,fascinating,
31,barnstorm,He branstormed across the southern states in an attempt to woo the voters.,canvass,stump,,,
31,retroactive,Your pay rate is retroactive to the beginning of last year.,retrospective,,,,
32,intact,Nothing was left intact where the typhoon had ravaged.,undamaged,uninjured,untouched,whole,
32,squander,His habits of wasting money has led him to squander his first prize in lottery.,dissipate,waste,,,
32,detour,He took a detour in order to avoid the checkpoint.,bypass,circuit,diversion,,
32,plaudit,"Despite her humble comment, her work is already receiving a wide array of plaudits from all over the world.",acclaim,approval,praise,,
32,counsel,Both psychologists and psychiatrists counsel patients but only psychiatrists can prescribe medication.,consultation,deliberation,,,
32,trenchant,His criticism that the bureaycratic government tends to make life more difficult for its citizens is trenchant and to the point.,caustic,keen,pungent,,
32,subpoena,The court delivered a subpoena to a women who saw the rebbery.,decree,summons,writ,,
32,repel,Politicians must repel populist temptations after looking back on what they did.,chase,dislodge,drive,repulse,
32,viewpoint,Things might look different from the viewpoint of someone else.,perspective,standpoint,,,
32,inviting,"the interior is spacious and decorated in warm, inviting tones.",appealing,arresting,attractive,engaging,tempting
32,shove,People began to push and shove to get better view.,elbow,jostle,push,thrust,
32,affront,"If one comes late, it is considered a personal affront to the waitng party.",dishonor,indignity,insult,offence,slight
32,cerebral,"He has cerebral palsy, which makes his speech nearly unintelligible.",cerebric,,,,
32,cerebral,Hill said Witherspoon is very cerebral for his age.,brainy,intellective,intellectual,intelligent,
32,betroth,"Cale Chitwood was apparently reluctant to betroth his 12-year-old daughter, but did anyway in 1883.",affiance,engage,,,
32,fraudulent,He was accused of fraudulent dealings with many people.,deceitful,dishonest,fraudful,,
32,eradicate,We are determined to eradicate racism from our sport.,eliminate,exterminate,uproot,,
32,cemetery,She rests beside her husband in the local cemetery.,necropolis,,,,
32,dispassionate,The king seemed to make a dispasstinate judgement but it was based on human nature.,composed,unemotional,unmoved,,
32,pulse,"The victim had no pulse, no blood pressure, no breathing.",detached,fair,impartial,unbiased,unprejudiced
32,substantive,we need to embark on joint endeavors towards the start of the substantive work.,essential,important,practical,,
32,goad,The real estate broker goaded the couple to put down deposit.,drive,provoke,stimulate,urge,
32,conviction,She had a previous convition for a similar offence.,condemnation,,,,
32,hoary,"If you ever came across the hoary old VHS release of the movie, then you will be pleasnatly surprised by how good it looks on DVD.",assurance,belief,confidence,faith,
32,inundate,"If the dam breaks, it will inundate large parts of the town",engulf,flood,overflow,overwash,submerge
32,carnal,"In Saudi Arabia recently, two men who had been caught in carnal acts, were sentenced to 7,000 lashes each, and are now permanently disabled as a result.",bodily,corporal,corporeal,fleshly,sensual
32,surrender,The hijackers eventually surrendered themsleves to the police.,capitulate,submit,succumb,yield,
32,fluid,"As a baby develops inside the mother, he or she floats in a fluid inside the mother's womb.",liquid,,,,
32,angular,he field down the angular part.,angled,angulated,squarish,,
32,lash,The employee was under the lash for negligence of duties.,censure,criticism,disparagement,fault-finding,
32,resilient,"Amy was hurt, but she was amazingly resilient.",bouncy,elastic,supple,,
32,dampen,Higher interest rates would threaten to dampen U.S domestic consumption and corporate investment.,deject,depress,discourage,,
32,gist,The main gist of this book is a friendship that transcends generations,core,essence,pith,,
32,provincial,The child could not understand his provincial point of view.,local,regional,rural,,
32,cringe,The courtiers cringed before the king.,fawn,toady,,,
32,extrovert,"A timid person prefers eating spicy and salty food, while an extrovert likes to eat bland food .",gregarious,outgoing,sociable,,
32,addle,Perhaps the heat has addled kids' brains.,befuddle,bewilder,confuse,muddle,
32,wan,He sat up on the mattress as tears fell down her wan face.,ashen,pale,pallid,pasty,waxen
32,moiety,There is a slight moiety of the savage in her personality which is not easily perceived by those who do not know her well.,part,piece,portion,section,
32,almighty,I swear by almighty God that I will tell the truth.,omnipotent,,,,
32,unify,Silla Dynasty unified the Three Kingdoms in AD. 676.,consolidate,integrate,unite,,
32,tariff,Import tariffs on raw materials make our products too expensive.,duty,tax,,,
32,devour,I saw prisoners devour the corpses of their comrades.,consume,gobble,gorge,,
32,nimble,She played the guitar with nimble fingers .,agile,quick,swift,,
32,burrow,Earthworms burrow deep into the soil.,dig,excavate,tunnel,,
32,burrow,She burrowed in the drawer for a pair of socks.,ferret,forage,rummage,,
32,fade,"Diabetes is one ofthe main causes ofdementia, which causes a person's memory to fade away.",become pale,dim,,,
33,gratuitous,Did you accept gratuitous jugs from your friends?,complimentary,free,gratis,pro bono,
33,gratuitous,His death seemed so gratuitous that I couldn' t understand his death.,causeless,groundless,ungrounded,,
33,expatiate,I do not feel the need to expatiate on this matter at length.,amplify,descant,elaborate,expound,
33,reprisal,The caller refused to give hi s name out of fear of reprisals.,retaliation,revenge,vengeance,,
33,passe,People dating people of the same age are passe now.,obsolete,old-fashioned,outdated,,
33,instantaneous,Death was not instantaneous because none of the bullets hit the heart.,immediate,instant,prompt,quick,
33,deteriorate,"Once he told her she was too fat, their relationship deteriorated rapidly, and within a few weeks they separated.",degenerate,depreciate,retrogress,worsen,
33,methodical,"He is methodical, so he plans things years in advance.",careful,exact,meticulous,,
33,circumvent,Defense attorney found a way that can circumvent the law.,avoid,evade,get around,,
33,bauble,You cannot bribe me with little baubles and trink:ets.,trinket,trifle,,,
33,thrust,He thrust his way through the crowd.,push,shove,,,
33,extraneous,The report included too much extraneous information.,irrelevant,unrelated,,,
33,feces,The feces contain nitrogen which fertilizes the soil.,excrement,stools,deposit,dregs,
33,supercilious,He thought himself a genius and had a supercilious smile.,arrogant,assuming,haughty,proud,
33,legislature,They petitioned the legislature to pass laws protecting the envirorunent.,assembly,congress,parliament,,
33,butcher,"He saw a cow getting slaughtered in front ofthe butcher shop, which made his stomach tum.",massacre,slaughter,,,
33,snort,My boss snorted at my innovative idea.,hoot,pooh-pooh,sneer,sniff,
33,stolid,"Although he told funny jokes, hi s audience was too stolid to appreciate his humor.",dull,impassive,obtuse,,
33,proviso,I am ready to accept your proposal with the proviso that you meet your obligation.,condition,provision,qualification,terms,
33,proviso,He agreed to their visit with the proviso that they should stay no longer than one week.,condition,provision,qualification,terms,
33,apposite,Skyscraper is an apposite name for Manhattan's many tall buildings.,appropriate,germane,pertinent,proper,relevant
33,jumble,He has a jumble of papers on his desk.,confuse,disorder,mix,,
33,term,"Alcoholic beverage is a generic tern for wine, spirits, beer, etc.",expression,phrase,word,,
33,dogged,Dogged pursuit by the hunting dog exhausted the wild boar.,obstinate,persistent,stubborn,tenacious,
33,scurry,A small anny ofmaintenance people often work even as visitors scurry around them.,hasten,scuttle,skitter,,
33,covenant,"To be monks, they took covenants of chastity, poverty, and obedience.",contract,pact,,,
33,covenant,The rival nations signed a covenant to reduce their armaments.,contract,pact,,,
33,nuptial,Neither she nor Roger is fond of grand nuptial events.,conjugal,marital,matrimonial,,
33,nuptial,Prince William acted as a pageboy at the nuptials.,marriage,matrimony,wedding,,
33,register,"According to the new policy, people who don 't register their dogs will be fmed.",enroll,enter,note,,
33,gumption,You don't have the gumption it takes to be a citizen ofa democracy.,drive,spirit,,,
33,fleeting,Aging happens in a fleeting moment.,ephemeral,momentary,temporary,transitory,evanescent
33,fleeting,The passing years are but fleeting moments.,ephemeral,momentary,temporary,transitory,evanescent
33,outbreak,The outbreak ofthe war precipitated the ruin ofour fmn.,burst,eruption,,,
33,sermon,The sermon was so long and boring that I felt sleepy.,hormily,preaching,,,
33,catchy,She played a catchy song on the piano.,memorable,unforgettable,,,
33,catchy,The man thought that the question was catchy.,catch,trappy,tricky,,
33,premise,Life is the art ofdrawing sufficient conclusions from insufficient premises.,assumption,postulation,,,
33,interchange,Sad moments were interchanged with hours of merriment.,barter,exchange,reciprocate,swap,
33,cooperation,Her arrest was a triumph of international cooperation.,coaction,collaboration,,,
33,cooperation,Consumers' cooperation is needed to protect consumers as buyers ofgoods.,cooperative,co-op,,,
33,helluva,I've got one helluva big house in New York.,excessively,very,,,
33,espionage,South Korean handset maker Samsung Electronics bans employees from using camera phones at work to prevent corporate espionage.,intelligence,spying,,,
33,roam,"Once upon a time, dinosaurs roamed everywhere in the world.",ramble,saunter,stroll,wander,
33,alloy,"Steel is an alloy of iron, carbon and other elements such as phosphorus and nickel.",blend,mix,,,
33,cul-de-sac,That kind ofeasy-going attitude is driving the industry into a new cul-de-sac.,dead end,impasse,,,
33,vapid,Our prime minister delivered a vapid address.,boring,dell,uninteresting,,
34,fortify,"They hurriedly fortified the village with barricades of carts, tree trunks and whatever came to hand.",reinforce,strengthen,,,
34,imbecile,What imbecile would mistake me for my mother?,bean-head,cretin,ditz,,
34,supersede,The theory has been superseded by more recent research.,displace,replace,substitute,supplant,
34,distinct,Maldives has mainly two distinct seasons: the wet season and the dry season.,apparent,definite,obvious,,
34,relic,The area is a treasure house of archaeological relics.,artifact,monument,remains,remnant,
34,craven,"Just as the cowardice is the mark of craven, disloyalty is the mark of the renegade.",chicken,coward,poltroon,,
34,strife,The three-way talks have remained stalled since labor strife.,battle,clash,combat,struggle,
34,accede,He acceded to demands for his res1gnat1on.,agree,assent,consent,,
34,accede,Queen Victoria acceded to the throne in 1837.,succeed,,,,
34,emission,Electric cars are truly eco-friendly in that they generate no emissions.,discharge,release,,,
34,disparage,The governor disparaged our efforts to beautify the town square.,belittle,decry,denigrate,derogate,diminish
34,chore,"Ifkids receive rewards for doing chores, then they will only do the chores for the rewards.",housework,routine,,,
34,noisome,I never could stand the noisome atmosphere surrounding the slaughter houses.,disgusting,fetid,malodorous,,
34,concept,"As society has changed, the concept of gender equality emerged.",conception,idea,notion,sense,thought
34,buff,"As film buffs know, sequels seldom live up to the original.",aficionade,devotee,enthusiast,fanatic,
34,buff,He put a large buff envelope in the middle of the table.,beige,sallow,,,
34,prolix,He is much too prolix in his writings; he writes a page when a sentence should suffice.,redundant,verbose,wordy,,
34,mortician,The mortician bathed and shrouded the body.,undertaker,,,,
34,rescind,The government rescinded its trade agreement after a continuous economic recession.,annul,repeal,revoke,,
34,tribe,Native American tribes have suffered from acculturation.,clan,race,,,
34,covert,North Korea admitted having a covert nuclear program.,clandestine,undercover,,,
34,gesticulate,The speaker gesticulated in such a strange way that the audience paid more attention to his hands than to hi s words.,gesture,motion,pentomime,,
34,avaricious,Employees of that avaricious company were over-worked and under-paid.,acquisitive,desirous,grabby,greedy,
34,shear,"Prompted by the visit ofa trader who will buy their wool, Tibetan herders in Qinghai Province shear their sheep.",clip,fleece,shave,trim,
34,infraction,Speeding is the infraction ofthe traffic laws.,breach,infringement,violation,,
34,outgoing,He has an outgoing and gregarious personality.,extrovert,open,sociable,,
34,extol,he man was extolled as the paragon of sublime self-sacrifice in history.,admire,exalt,laud,praise,
34,wheedle,The gamblers were trying to wheedle him into a card game,cajole,coax,inveigle,,
34,homage,The nobles paid homage to the king by bowing to him,deference,respect,reverance,,
34,lurk,A cobra was lurking in the grass to ambush its prey.,hide,,,,
34,cede,"After losing the war, the country ceded land to the conqueror.",surrender,transfer,yield,,
34,prophet,The founder of Islam is the prophet Muhammad.,diviner,forecaster,soothsayer,,
34,truncate,The tree was truncated to make her wedding chest.,clip,crop,cut,dock,trim
34,truncate,My article was published in truncated form.,prune,shorten,,,
34,stellar,Knowing the masses of stars is important in understanding stellar evolution.,astral,sidereal,,,
34,stellar,His stellar career spans more than three decades.,leading,outstanding,prima,,
34,initiative,We should take the initiative in this matter.,drive,enterprise,gumption,inventiveness,
34,utensil,Don't share cups and utensils with anyone when you have a cold.,implement,tool,,,
34,confuse,It is very common for people to confuse lust for love.,confound,mistake,,,
34,remunerative,Charity work is not very remunerative.,lucrative,paying,profitable,,
34,blaze,Investigators said the blaze was caused by the protesters ' mishandling ofa large amount of paint thinners.,fire,flame,,,
34,ape,Her performance is truly ape.,apex,peak,pinnacle,zenith,
34,ape,We used to ape the teacher's southern accent.,imitate,mimic,,,
34,contrive,"Anyway, he contrived to win the election and thereby realized his dream.",devise,invent,concoct,fabricate,
34,gigantic,The Earth was once ruled by gigantic dinosaurs.,enormous,giant,massive,titanic,
35,vindictive,He is so vindictive that he never forgives anybody.,retaliatory,revengeful,,,
35,burlesque,"In his caricature, he burlesqued the mannerisms of his adversary.",imitate,mimic,mock,,
35,egotism,Finding herself world-famous by the time she was 18 only encouraged the actress ' egotism.,conceit,narcissism,selfishness,vanity,
35,ad hoc,There will be an ad hoc meeting to deal with the problem.,makeshift,provisional,temporary,,
35,crackdown,The police began a crackdown on illegal gambling.,clampdown,oppression,repression,suppression,
35,instill,Self-confidence must be instilled in the child from an early age.,imbue,imculcate,infuse,,
35,instill,Good leaders instill a sense of ownership in their members.,imbue,imculcate,infuse,,
35,locomotion,A fish uses its fins for locomotion.,movement,,,,
35,matter,"Experts say that our quality ofsleep really does matter, especially for athletes.",be of importance,count,,,
35,palsy,The old man has been laid up with palsy for ten years.,paralysis,,,,
